ID,Original,Expert,GPT,Diff_Expert_vs_GPT,Diff_Expert_vs_Original,Diff_GPT_vs_Original,Prixjury,Prixpublic,Expert_Comment
SEN01,63.36906211936663,80,85,5,16.63093788063337,21.63093788063337,,1.0,
CFE02,68.22580645161291,51,85,34,17.22580645161291,16.77419354838709,,1.0,phrases en fin de paragraphes redondantes ou alors c'est une erreur de transcription.
UCA11,66.16062508005635,55,85,30,11.160625080056349,18.83937491994365,2.0,,
CFE05,68.05111821086261,36,85,49,32.05111821086261,16.94888178913739,2.0,,
BFC06,68.84750880724711,88,85,3,19.15249119275289,16.15249119275289,1.0,,
NOR10,73.85817377640693,51,85,34,22.85817377640693,11.141826223593071,1.0,,
BOD04,78.74326750448834,44,85,41,34.743267504488344,6.256732495511656,3.0,,
SPC04,82.81536463165709,70,85,15,12.81536463165709,2.18463536834291,,1.0,
BFC09,84.74648141465174,76,85,9,8.74648141465174,0.2535185853482602,,1.0,
UCA07,76.79337438946698,23,65,42,53.793374389466976,11.793374389466976,1.0,,"Il se peut que ce soit un souci de retranscription, le texte est incompréhensible, les phrases n'ont pas de sens et certains mots n'existent pas. "
BRE16,77.1821113738981,62,90,28,15.182111373898096,12.817888626101904,1.0,,
POF05,81.55339805825241,52,85,33,29.553398058252412,3.4466019417475877,2.0,,
UCA05,74.96601867442216,16,85,69,58.96601867442216,10.033981325577841,,,
PES06,82.68750000000001,63,85,22,19.687500000000014,2.312499999999986,,,
ALS09,92.01526717557252,52,85,33,40.01526717557252,7.015267175572518,,,
OCM10,87.54266211604094,75,90,15,12.542662116040944,2.457337883959056,,,
LDV09,71.83098591549296,52,85,33,19.83098591549296,13.16901408450704,,,
CVL01,92.11524309089486,68,85,17,24.115243090894865,7.1152430908948645,,1.0,"il m'est difficile d'évaluer l'efficacité de l'introduction et conclusion, car tout l'effet repose sur la gestuelle qui n'est pas retranscrite ici. Je ne peux ainsi que supposer l'effet, car ce n'est malheureusement pas mesurable en se basant uniquement sur le texte."
UCA14,96.49398407654682,11,75,64,85.49398407654682,21.493984076546823,,1.0,texte incompréhensible.
BOD07,89.35579781962339,73,85,12,16.35579781962339,4.35579781962339,,1.0,
LYO11,81.13382899628253,56,85,29,25.13382899628253,3.8661710037174686,2.0,1.0,
ALS08,79.48475625483621,71,85,14,8.484756254836213,5.515243745163787,1.0,1.0,
SEN02,86.65689907782472,58,85,27,28.65689907782472,1.6568990778247183,1.0,,
CVL03,76.32301430025173,57,90,33,19.323014300251728,13.676985699748272,3.0,,
SOU10,82.79594137542279,65,85,20,17.795941375422785,2.2040586245772147,,,
HES03,84.62220252603589,58,85,27,26.622202526035892,0.3777974739641081,1.0,,
POF03,89.19238443631527,37,85,48,52.192384436315265,4.192384436315265,1.0,1.0,
OCM07,92.35525139013104,41,85,44,51.355251390131045,7.355251390131045,3.0,,
LDV07,89.56928916209414,51,85,34,38.56928916209414,4.569289162094137,,,
SPC05,89.80088495575221,48,90,42,41.80088495575221,0.19911504424779025,,,
SOU13,97.91666666666669,47,85,38,50.916666666666686,12.916666666666686,,,
PES07,92.45540398740818,51,85,34,41.455403987408175,7.455403987408175,,,
BRE04,94.14506805892223,48,85,37,46.145068058922234,9.145068058922234,,,
OCM08,93.18181818181816,20,85,65,73.18181818181816,8.181818181818159,,,
LRE11,94.64219640346332,29,85,56,65.64219640346332,9.642196403463316,,,
GRE13,91.65844611924396,48,85,37,43.65844611924396,6.658446119243962,,,"Trop de jargon rendant le discours difficile à comprendre. Introduction sensible, à travers le texte je perçois difficilement l'effet produit par l'humour utilisé ici. "
