ID,Original,Expert,GPT,Diff_Expert_vs_GPT,Diff_Expert_vs_Original,Diff_GPT_vs_Original,Prixjury,Prixpublic,Expert_Comment,Text
PES08,3.6000000000000005,2,4,2,1.6000000000000005,0.39999999999999947,1.0,,," Parmi les phénomènes étranges qui animent le monde céleste, j'en connais un qui marque particulièrement les plus fins observateurs. L'apparition d'une intense chevelure cosmique illuminant et traversant le vide spatial. Alors que certains apprécient la beauté du spectacle, d'autres entrevoient ici de très mauvais présages, comme l'arrivée de guerres sanglantes ou la mort d'illustres personnages. Les comètes entrent en scène. Mesdames et messieurs, aujourd'hui, j'ai l'honneur et le privilège de vous présenter 67P Choyoumov Gerasimenko. Mais entre nous, on peut l'appeler 67P ou même Chouri pour les intimes. Malheureusement, Madame n'a pas pu être présente aujourd'hui. C'est pourquoi je vais tenter de restituer le plus fidèlement possible ce qu'elle m'a raconté. Je préfère vous prévenir, Madame n'est pas très à l'aise avec les journalistes. Après dix ans de voyage, notre fidèle sonde Rosetta, notre envoyée spéciale, a réussi à obtenir une audience. Comme vous pouvez le voir, Sa Majesté a accepté de nous révéler le contenu de son cœur. Un mélange de glace et de poussière. Les mauvaises langues diront que 67P n'est qu'une grosse boule de neige sale. Moi, je pense au contraire qu'elle est respectable. Car en plus de tourner autour du soleil, elle ose s'en approcher parfois d'un peu trop près. Et croyez-moi, personne n'a l'impression d'être un homme. Personne ne reste de glace face au rayonnement du Dieu-Soleil. En effet, à proximité de la divinité, Madame s'est échauffée et a soufflé violemment des tonnes de poussière autour d'elle. Notre fidèle sonde Rosetta en a profité pour collecter et analyser ces grains de poussière laissés à l'abandon. Le problème, c'est que l'interprétation des analyses n'est pas évidente, car elles proviennent d'un instrument développé il y a une vingtaine d'années. Heureusement. J'ai à ma disposition sur Terre une copie conforme de cet instrument. Je peux alors l'utiliser pour analyser des matériaux semblables à ceux des comètes. Et comparer les résultats des analyses avec ceux des poussières cométaires. Ainsi, la comparaison de données me permet d'élucider les secrets les mieux gardés de Sa Majesté. L'information la plus importante, c'est que Notre-Altesse recèle de la matière organique. Une matière à base de carbone essentielle à la prolifération de la vie. Or, nous savons que les comètes ont bombardé la Terre primitive, délivrant leur matière organique, et jouant ainsi un rôle indispensable dans l'émergence du vivant. Alors que les premiers observateurs des comètes considéraient ces astres comme les messagers de la mort, Sa Majesté 67P m'a assuré au contraire que ses ancêtres ont été des contributeurs nécessaires à la vie, sans lesquels ni vous, ni moi, ne serions présents. Aujourd'hui."
PES03,1.6363636363636365,3,5,2,1.3636363636363635,3.3636363636363633,,1.0,,
HES01,3.333333333333333,2,4,2,1.333333333333333,0.666666666666667,,,,
CVL03,4.285714285714286,3,5,2,1.2857142857142856,0.7142857142857144,3.0,,,
BFC10,3.1578947368421053,2,4,2,1.1578947368421053,0.8421052631578947,,,,
SPC09,3.1578947368421053,2,4,2,1.1578947368421053,0.8421052631578947,,,,
ALS10,2.0689655172413794,3,5,2,0.9310344827586206,2.9310344827586206,,,,
BOD11,2.903225806451613,2,4,2,0.903225806451613,1.096774193548387,,,,
LYO02,2.903225806451613,2,4,2,0.903225806451613,1.096774193548387,,,,
OCM13,2.903225806451613,2,4,2,0.903225806451613,1.096774193548387,,,,
BRE16,3.829787234042554,3,5,2,0.8297872340425538,1.1702127659574462,1.0,,,
SPC03,2.7692307692307696,2,4,2,0.7692307692307696,1.2307692307692304,,,,
UPS10,1.2857142857142858,2,4,2,0.7142857142857142,2.7142857142857144,,,,
SOU01,3.6000000000000005,3,5,2,0.6000000000000005,1.3999999999999995,,1.0,,
NOR05,2.571428571428572,2,4,2,0.5714285714285721,1.428571428571428,,,,
LRE09,2.5,2,4,2,0.5,1.5,,,"Une  grande partie du texte n'a pas de sens, je ne sais pas si c'est un problème de transcription. ",
PES04,1.3333333333333333,1,3,2,0.33333333333333326,1.6666666666666667,,,,
LDV05,3.272727272727273,3,5,2,0.27272727272727293,1.727272727272727,,1.0,,
BFC02,2.142857142857143,2,4,2,0.1428571428571428,1.8571428571428572,,,,
OCM18,2.903225806451613,3,5,2,0.09677419354838701,2.096774193548387,,,,
BOD12,2.0689655172413794,2,4,2,0.06896551724137945,1.9310344827586206,2.0,,,
UCA02,2.0689655172413794,2,4,2,0.06896551724137945,1.9310344827586206,,,,
HES02,2.0689655172413794,2,4,2,0.06896551724137945,1.9310344827586206,,1.0,,
SOU15,2.0689655172413794,2,4,2,0.06896551724137945,1.9310344827586206,,,,
LOR08,2.0689655172413794,2,4,2,0.06896551724137945,1.9310344827586206,,,,
HES06,1.956521739130435,2,4,2,0.043478260869564966,2.043478260869565,,,,
LOR02,1.956521739130435,2,4,2,0.043478260869564966,2.043478260869565,1.0,1.0,," La Terre est unique au sein du système solaire. Son atmosphère, la présence d'océans et de vie à sa surface font d'elle une perle rare. Mais d'où viennent ces gaz que nous respirons et qui ont rendu notre planète habitable ? Au laboratoire, j'ai à ma disposition une collection de roches extraterrestres, incluant des météorites, des échantillons lunaires ramenés des missions Apollo, ou encore des cailloux éjectés depuis la surface de Mars. Et moi, je les détruis, en les chauffant jusqu'à les fondre pour libérer les gaz extraterrestres que ces roches contiennent. Des gaz que j'analyse ensuite et que je compare à la composition de l'air ambiant. Plus précisément, j'analyse la signature d'un gaz rare, le xénon, un traceur idéal pour enquêter sur l'origine de l'atmosphère. Mon but, c'est donc de déterminer quel type de roches extraterrestres ont pu apporter sur Terre les gaz qui nous entourent aujourd'hui. En premier lieu, j'ai analysé le xénon contenu dans les roches des profondeurs de la Terre et qui remonte à la surface en sortant par les volcans. Sa composition est identique à celle du xénon emprisonné dans les météorites. Imaginons par exemple que ce xénon de la Terre et des météorites soit de couleur jaune. Bon, mon problème, c'est que le xénon présent dans l'air, que nous respirons, celui de l'atmosphère, n'a pas la même composition. C'est comme si, au lieu d'être jaune, il était de couleur verte. Or, quand je regarde sur ma palette de peinture, qui représente la collection de météorites, je vois du jaune, je vois même du rouge, qui correspond au gaz émis par le soleil. Mais j'ai beau imaginer tous les mélanges possibles, il me manque forcément une touche de bleu pour expliquer cette couleur verte du xénon d'atmosphère. En 2004, l'agence spatiale européenne a envoyé une sonde nommée Rosetta pour aller enfin interroger une autre catégorie de matières extraterrestres. Les comètes, ces boules de glace et de poussière, restées planquées au fin fond du système solaire depuis la nuit des temps. A bord de cette sonde spatiale se trouvait le même instrument que celui que j'utilise à Nancy pour analyser le xénon. Fin mai 2016, le verdict fut sans appel. Sur notre palette de peinture, nous avons une sonde qui est très importante. Avec cette palette de peinture imaginaire, le xénon des comètes aurait une composition bleue. Autrement dit, la Terre, formée de matières similaires aux météorites, a bien eu une atmosphère initiale de couleur jaune. Mais il fallait y ajouter quelques pincées tardives de bleu cométaire pour obtenir sa composition actuelle, qui m'en aura fait voir des vertes et des pas mûres. La Terre est donc unique, d'aucun disque elle ne manque pas d'air. Il suffisait de raviver ses couleurs. Pour détendre l'atmosphère."
HES08,1.8947368421052635,4,5,1,2.1052631578947363,3.1052631578947363,2.0,,,
PES07,4.999999999999999,3,4,1,1.9999999999999991,0.9999999999999991,,,,
UCA07,3.829787234042554,2,3,1,1.8297872340425538,0.8297872340425538,1.0,,"Il se peut que ce soit un souci de retranscription, le texte est incompréhensible, les phrases n'ont pas de sens et certains mots n'existent pas. ",
HES03,4.615384615384615,3,4,1,1.615384615384615,0.615384615384615,1.0,,,
OCM07,4.615384615384615,3,4,1,1.615384615384615,0.615384615384615,3.0,,,
SOU09,1.5,3,4,1,1.5,2.5,,,,
LYO11,4.285714285714286,3,4,1,1.2857142857142856,0.2857142857142856,2.0,1.0,,
SEN02,4.285714285714286,3,4,1,1.2857142857142856,0.2857142857142856,1.0,,,
PES06,4.090909090909091,3,4,1,1.0909090909090908,0.09090909090909083,,,,
LDV09,4.090909090909091,3,4,1,1.0909090909090908,0.09090909090909083,,,,
OCM14,1.956521739130435,3,4,1,1.043478260869565,2.043478260869565,,,,
SOU07,2.0,3,4,1,1.0,2.0,,,,
LRE02,2.0,3,4,1,1.0,2.0,,,,
NOR12,3.0,4,5,1,1.0,2.0,,,,
CFE02,3.8297872340425534,3,4,1,0.8297872340425534,0.1702127659574466,,1.0,phrases en fin de paragraphes redondantes ou alors c'est une erreur de transcription.,
UCA11,3.8297872340425534,3,4,1,0.8297872340425534,0.1702127659574466,2.0,,,
NOR10,3.8297872340425534,3,4,1,0.8297872340425534,0.1702127659574466,1.0,,,
LYO01,3.6000000000000005,3,4,1,0.6000000000000005,0.39999999999999947,1.0,,j'imagine qu'en introduction l'orateur casse un sucre dans le noir pour faire la démonstration de son propos. Difficile à analyser par la simple transcription textuelle.,
UPS04,2.4,3,4,1,0.6000000000000001,1.6,,,des répétitions volontaires ou problème de transcription ?,
GRE01,3.6000000000000005,4,5,1,0.39999999999999947,1.3999999999999995,3.0,1.0,,
ALS11,3.333333333333333,3,4,1,0.33333333333333304,0.666666666666667,,,,
CFE09,3.333333333333333,3,4,1,0.33333333333333304,0.666666666666667,,,,
ALS08,4.285714285714286,4,5,1,0.2857142857142856,0.7142857142857144,1.0,1.0,,
LYO05,2.7692307692307696,3,4,1,0.2307692307692304,1.2307692307692304,,,,
GRE03,2.7692307692307696,3,4,1,0.2307692307692304,1.2307692307692304,,,,
SPC04,3.829787234042554,4,5,1,0.17021276595744617,1.1702127659574462,,1.0,,
ALS03,3.1578947368421053,3,4,1,0.1578947368421053,0.8421052631578947,,,,
BOD01,2.903225806451613,3,4,1,0.09677419354838701,1.096774193548387,,,métaphore intéressante mais mal formulée," Saviez-vous que même les ponts en béton armé peuvent tomber malades ? Autrement dit, quelle est la différence entre un pont en béton armé et le corps humain ? C'est évident, à l'intérieur du corps humain, il y a une structure osseuse, le squelette. Tandis que dans le béton armé, il y a une ossature en acier. Imaginez une maladie osseuse telle qu'elle soit. Dans ce cas, les os sont fragilisés et ne vont pas remplir leur rôle. Par conséquent, le corps est affaibli. Dans le béton armé, cette maladie osseuse est la corrosion. La corrosion des armatures en acier est due à l'attaque par deux agents agressifs. Le dioxyde de carbone qui est abondant dans l'atmosphère et les ions chlorures qui sont présents dans l'eau de mer et les ombres à marin. Ces agents agressifs tentent de pénétrer dans le béton jusqu'à atteindre l'armature d'acier. Une fois la corrosion amorcée, la rouille se forme, elle se gonfle et fait éclater le béton. Elle crée des fissurations importantes sur le pont. Je vous laisse imaginer les conséquences. Mon travail consiste à développer des outils pour aider les ingénieurs à prédire et anticiper le risque de corrosion dans les ouvrages en béton armé. Ces outils sont des modèles mathématiques qu'on appelle des modèles ingénieurs. On les appelle ainsi parce qu'ils sont adaptés aux préoccupations directes des industriels de BTP. La particularité de ces modèles est d'être à la fois simple d'utilisation, peu coûtant en termes de temps de calcul et précis. Mais c'est maintenant où les choses se compliquent. Je m'intéresse dans un premier temps à prédire la phase d'initiation de la corrosion. Cette phase correspond à la durée que les agents agressifs mettent pour arriver au niveau de l'armature. Cette durée dépend non seulement des conditions d'exposition, température, humilité relative et concentration des agents agressifs dans l'environnement, mais également de la capacité du béton à retarder leur pénétration. Cette capacité est traduite par des indicateurs de performance. Le coefficient de dévision de CO2 et le coefficient d'émigration des ions chlorureux. Par exemple, pour un béton à haute température, la durée de performance est de 100 ans. La réglementation actuelle suppose que la durée de service d'un ouvrage est atteinte une fois la corrosion amorcée. Sans fait le parallèle, l'humain est considéré mort une fois malade. Ce qui n'est pas vrai, en général. La particularité de mes travaux de recherche est d'intégrer la phase de propagation de corrosion dans la vie de l'ouvrage. Cette durée est tolérée pour une ouverture de fessure de 0,1 mm. Une petite cicatrice. A ce stade-là, les performances mécaniques du pont ne sont pas touchées. Le risque de l'effondrement de l'ouvrage devient majeur seulement quand la corrosion atteint des stades avancés. Vous l'avez bien compris. La finalité de mes travaux de recherche est d'aider et de guider les ingénieurs de façon à optimiser et maximiser la durée de service des ouvrages en béton armé. Cette durée dépasse souvent l'espérance de vie du simple chercheur que nous sommes. Et ceci crée une frustration. Mais également un espoir pour que les ponts d'aujourd'hui construits avec les techniques d'aujourd'hui tiennent le jour. Le jour ne sera plus là."
OCM10,4.090909090909091,4,5,1,0.09090909090909083,0.9090909090909092,,,,
CVL01,4.090909090909091,4,5,1,0.09090909090909083,0.9090909090909092,,1.0,"il m'est difficile d'évaluer l'efficacité de l'introduction et conclusion, car tout l'effet repose sur la gestuelle qui n'est pas retranscrite ici. Je ne peux ainsi que supposer l'effet, car ce n'est malheureusement pas mesurable en se basant uniquement sur le texte."," Laissez-moi vous poser une seule et simple question. Loi niche bas, la poule niche haut, mais où niche hibou ? Alors ? Bon, je répète. Loi niche bas, la poule niche haut, mais où niche hibou ? Ah, c'est mieux comme ça, non ? Là, j'ai utilisé une gestuelle qui vous a permis de mieux comprendre ce que je disais. Et cette gestuelle, c'est la langue des signes. Et c'est là le sujet de ma thèse. Montrer que la langue des signes est un outil pédagogique en classe. Elle va permettre en effet d'aider les élèves entendants à mieux appréhender les apprentissages et à mieux comprendre ce que dit l'enseignant. En effet, de nombreuses études ont montré que la gestuelle permettait d'accéder au sens du discours. La langue des signes étant une langue gestuelle, si un enseignant signe en même temps qu'il oralise son cours, l'élève comprendra mieux ce qui est dit. Cela évitera donc les confusions de mots et de sens, comme lorsqu'on en est face à des homonymes, des mots qui ont la même consonance, ou lorsque l'on est face à des paronymes, des mots qui se ressemblent mais qui n'ont pas la même définition, tels que attention ou intention. Par exemple, si je demande à un élève de me dessiner un oiseau qui vole, il va de soi-même dire que c'est un oiseau qui vole. Il va de soi-même dire que c'est un oiseau qui vole. Il va de soi que je ne lui demande pas de me dessiner un oiseau qui vole, qui dérobe, mais un oiseau qui vole. Donc, la langue des signes va non seulement être utile pour les élèves entendants dyslexiques, c'est-à-dire les élèves qui ont des soucis de compréhension et qui ont du mal à différencier certains mots proches, mais va également aider les élèves entendants dysphasiques, c'est-à-dire ceux qui ont un trouble du langage oral. En fait, c'est comme si je parlais avec les sous-titres en même temps. C'est génial. C'est génial, non ? De plus, dans ma classe, j'ai pu remarquer que la langue des signes aidait à la mémorisation chez les élèves entendants. Rappelez-vous, vous, quand vous étiez petits, quand on vous chantait des consignes, on utilisait nos mains. Le petit escargot qui porte sa maisonnette, vous en rappelez ? Eh bien, c'est grâce aux gestes. Apprendre une poésie grâce à la langue des signes va donc être un moyen plus efficace et plus mémotechnique pour les élèves entendants. Mais finalement, dites-moi, « Inichu ibu » ? Eh bien, « Ibu nish ni o ni ba » ? « Ibu nish ni o ni ba » ? Je vous remercie."
BRE14,3.0,3,4,1,0.0,1.0,,,,
CVL02,1.7647058823529411,4,4,0,2.235294117647059,2.235294117647059,1.0,,"Très bonne présentation, les métaphores et choix des mots rendent le texte vivant,  hormis la toute dernière phrase de conclusion qui fait retomber l'impact, on pourrait gagner encore quelques points en la retravaillant. "," Depuis la nuit des temps, il existe une guerre secrète qui a déjà fait des millions de morts. J'ai moi-même perdu certains compagnons, et sans doute que vous aussi. Je pense notamment aux jeunes poulains qui vivaient dans la ferme à côté de chez mes parents, quand j'étais plus jeune, et qui n'ont malheureusement pas survécu. Dans cette guerre, nous avons un ennemi commun. Nous, les humains, mais également les animaux, qu'ils soient terrestres ou marins, avec les insectes, les oiseaux, et même les végétaux. Cet ennemi commun, c'est le ver parasite. Les vers parasites sont partout et sont de toutes tailles. Certains sont microscopiques et vivent dans le sol, et ceux-là sont très bien pour l'environnement. En revanche, d'autres sont très méchants et parasitent quasiment toutes les espèces vivantes sur cette planète. Chez l'homme, une personne sur deux est infestée ou a été infestée. Donc regardez votre voisin à votre gauche, votre voisin à votre droite. Si ce n'est pas vous, c'est peut-être votre voisin qui est infesté. Je ne peux pas m'occuper de tous les parasites qui existent sur cette terre, donc je vais me concentrer sur celui du cheval qui m'a traumatisé dans mon enfance. Ce vers, chez le cheval, entraîne des troubles respiratoires et digestifs et peut entraîner la mort de l'animal. On a quand même une arme contre ce vers, une molécule qui s'appelle l'ivermectine. L'ivermectine a été commercialisée dans les années 80, donc il y a 40 ans. Et c'est là où est le problème. C'est que depuis, comme pour les antibiotiques et les bactéries, les vers ont développé des résistances à cette molécule. Et c'est là où j'entre en jeu. Le but de ma thèse est de comprendre comment l'ivermectine fonctionne sur ce parasite, parce qu'on ne le sait toujours pas à l'heure actuelle, même après 40 ans, et de comprendre les mécanismes de résistance impliqués contre cette molécule pour développer de nouvelles stratégies de lutte. Donc on a quand même quelques pistes. On sait que l'ivermectine agit sur le système nerveux du parasite, donc son cerveau, et plus précisément sur des récepteurs. Ces récepteurs sont composés de cinq sous-unités, comme cinq doigts, et permettent le passage ou pas d'un message nerveux suivant que le récepteur s'ouvre ou se ferme. Donc le vers parasite a une idée, comme bouger, manger, se reproduire. L'idée passe à travers ce récepteur et entraîne l'action, donc manger, bouger, se reproduire. L'ivermectine, elle, va se fixer sur ce récepteur et empêcher le vers de réaliser toutes ses actions. Donc le vers est paralysé et va mourir. Mais si le vers est résistant, l'ivermectine ne pourra jamais se fixer sur le récepteur, et du coup le vers va vivre librement, dans le cheval. Donc le but de ma thèse, c'est déjà d'identifier ces récepteurs et de trouver la bonne composition en sous-unités pour que ce récepteur soit fonctionnel, et du coup étudier les interactions de ce récepteur avec l'ivermectine, la molécule qui est impliquée, qui est utilisée pour traiter ce parasite. Dans un deuxième temps, je vais m'intéresser aux mutations de résistance qu'il y a sur ce récepteur pour développer une nouvelle stratégie et contourner la résistance. Donc vous pouvez compter sur moi, pour sauver les poneys, je vais tout donner."
LYO10,2.142857142857143,4,4,0,1.8571428571428572,1.8571428571428572,,,,
HES05,2.4,4,4,0,1.6,1.6,,,,
UPL02,2.903225806451613,4,4,0,1.096774193548387,1.096774193548387,1.0,,,
ALS05,3.0,4,4,0,1.0,1.0,,,,
NOR04,3.1578947368421053,4,4,0,0.8421052631578947,0.8421052631578947,,,,
SOU14,3.333333333333333,4,4,0,0.666666666666667,0.666666666666667,,,,
ALS04,3.333333333333333,4,4,0,0.666666666666667,0.666666666666667,,,difficile d'évaluer l'impact des passages avec de l'humour uniquement sur un contenu textuel.,
LOR03,3.461538461538461,4,4,0,0.5384615384615392,0.5384615384615392,2.0,,,
SEN01,3.6000000000000005,4,4,0,0.39999999999999947,0.39999999999999947,,1.0,,
BOD07,4.285714285714286,4,4,0,0.2857142857142856,0.2857142857142856,,1.0,,
BFC06,3.8297872340425534,4,4,0,0.1702127659574466,0.1702127659574466,1.0,,,
BFC09,3.829787234042554,4,4,0,0.17021276595744617,0.17021276595744617,,1.0,,
