ID,selfConfidence,persuasiveness,engagement,global,persuasiveness_rater1,persuasiveness_rater2,persuasiveness_rater3,Prixjury,Prixpublic
OCM11,2.7692307692307696,2.7692307692307696,2.7692307692307696,49.52579468473164,3.0,2.0,4.0,,
BOD01,2.903225806451613,2.903225806451613,3.1578947368421053,60.02528154447253,3.0,2.0,5.0,,
BOD11,2.903225806451613,2.903225806451613,3.461538461538461,58.07529967921661,2.0,3.0,5.0,,
UPL02,3.8297872340425534,2.903225806451613,3.461538461538461,66.10169491525424,3.0,5.0,2.0,1.0,
LYO02,3.829787234042554,2.903225806451613,3.829787234042554,78.55174923324842,2.0,3.0,5.0,,
OCM18,3.1578947368421053,2.903225806451613,3.829787234042554,52.1336480842564,3.0,2.0,5.0,,
OCM13,2.7692307692307696,2.903225806451613,2.7692307692307696,39.092622119147705,3.0,5.0,2.0,,
ALS05,3.1578947368421053,3.0,2.903225806451613,54.1360294117647,4.0,4.0,2.0,,
BRE14,3.6000000000000005,3.0,2.903225806451613,66.33890762936912,4.0,2.0,4.0,,
NOR12,4.0,3.0,3.0,72.57,2.0,4.0,4.0,,
ALS03,3.1578947368421053,3.1578947368421053,1.8947368421052635,80.53192115328036,5.0,4.0,2.0,,
GRE07,3.8297872340425534,3.1578947368421053,4.090909090909091,81.19266055045871,5.0,2.0,4.0,,
NOR04,4.285714285714286,3.1578947368421053,3.1578947368421053,70.56000000000002,2.0,4.0,5.0,,
BFC10,3.333333333333333,3.1578947368421053,3.1578947368421053,80.3406037844865,4.0,2.0,5.0,,
LDV08,3.1578947368421053,3.1578947368421053,3.8297872340425534,83.5319906836553,5.0,4.0,2.0,1.0,
SPC09,2.0,3.1578947368421053,2.0689655172413794,37.0048426150121,5.0,2.0,4.0,,
LDV05,4.285714285714286,3.272727272727273,3.2727272727272734,65.92277761149356,3.0,3.0,4.0,,1.0
ALS11,3.333333333333333,3.333333333333333,3.333333333333333,66.8097822981544,5.0,2.0,5.0,,
SOU14,3.0,3.333333333333333,2.7692307692307696,27.910833704859563,5.0,5.0,2.0,,
CFE09,3.8297872340425534,3.333333333333333,3.1578947368421053,68.34152883325883,5.0,2.0,5.0,,
ALS04,3.0,3.333333333333333,2.7692307692307696,46.53524049507152,2.0,5.0,5.0,,
HES01,4.615384615384615,3.333333333333333,3.1578947368421053,83.62831858407078,5.0,2.0,5.0,,
LOR03,3.1578947368421053,3.461538461538461,2.903225806451613,40.04056795131846,3.0,3.0,5.0,2.0,
LYO01,4.0,3.6000000000000005,3.2727272727272734,73.16957210776545,3.0,4.0,4.0,1.0,
SOU01,4.615384615384615,3.6000000000000005,3.6000000000000005,78.87323943661973,3.0,4.0,4.0,,1.0
PES08,3.461538461538461,3.6000000000000005,3.6000000000000005,53.008223274358336,3.0,4.0,4.0,1.0,
GRE01,3.8297872340425534,3.6000000000000005,3.6000000000000005,73.14139177060264,4.0,4.0,3.0,3.0,1.0
SEN01,3.829787234042554,3.6000000000000005,2.7692307692307696,63.36906211936663,4.0,3.0,4.0,,1.0
CFE02,3.2727272727272734,3.8297872340425534,3.6000000000000005,68.22580645161291,4.0,5.0,3.0,,1.0
UCA11,4.285714285714286,3.8297872340425534,4.285714285714286,66.16062508005635,5.0,3.0,4.0,2.0,
CFE05,4.090909090909091,3.8297872340425534,4.615384615384615,68.05111821086261,4.0,5.0,3.0,2.0,
BFC06,4.285714285714286,3.8297872340425534,2.7692307692307696,68.84750880724711,3.0,5.0,4.0,1.0,
NOR10,4.285714285714286,3.8297872340425534,4.615384615384615,73.85817377640693,5.0,4.0,3.0,1.0,
BOD04,4.285714285714286,3.829787234042554,4.285714285714286,78.74326750448834,3.0,4.0,5.0,3.0,
SPC04,4.285714285714286,3.829787234042554,4.285714285714286,82.81536463165709,4.0,3.0,5.0,,1.0
BFC09,4.285714285714286,3.829787234042554,4.285714285714286,84.74648141465174,3.0,4.0,5.0,,1.0
UCA07,4.090909090909091,3.829787234042554,3.1578947368421053,76.79337438946698,4.0,3.0,5.0,1.0,
BRE16,4.285714285714286,3.829787234042554,4.285714285714286,77.1821113738981,4.0,3.0,5.0,1.0,
POF05,4.0,3.829787234042554,4.285714285714286,81.55339805825241,3.0,4.0,5.0,2.0,
UCA05,4.615384615384615,4.090909090909091,3.829787234042554,74.96601867442216,3.0,5.0,5.0,,
PES06,4.615384615384615,4.090909090909091,4.090909090909091,82.68750000000001,3.0,5.0,5.0,,
ALS09,4.615384615384615,4.090909090909091,4.615384615384615,92.01526717557252,3.0,5.0,5.0,,
OCM10,4.615384615384615,4.090909090909091,3.829787234042554,87.54266211604094,3.0,5.0,5.0,,
LDV09,3.8297872340425534,4.090909090909091,3.8297872340425534,71.83098591549296,5.0,5.0,3.0,,
CVL01,4.285714285714286,4.090909090909091,4.285714285714286,92.11524309089486,5.0,3.0,5.0,,1.0
UCA14,4.615384615384615,4.285714285714286,3.1578947368421053,96.49398407654682,4.0,4.0,5.0,,1.0
BOD07,4.615384615384615,4.285714285714286,4.615384615384615,89.35579781962339,4.0,4.0,5.0,,1.0
LYO11,4.615384615384615,4.285714285714286,4.090909090909091,81.13382899628253,4.0,5.0,4.0,2.0,1.0
ALS08,4.0,4.285714285714286,4.0,79.48475625483621,4.0,4.0,5.0,1.0,1.0
SEN02,4.285714285714286,4.285714285714286,4.615384615384615,86.65689907782472,4.0,4.0,5.0,1.0,
CVL03,3.829787234042554,4.285714285714286,3.829787234042554,76.32301430025173,4.0,4.0,5.0,3.0,
SOU10,4.285714285714286,4.615384615384615,3.1578947368421053,82.79594137542279,5.0,4.0,5.0,,
HES03,4.615384615384615,4.615384615384615,4.615384615384615,84.62220252603589,5.0,4.0,5.0,1.0,
POF03,4.615384615384615,4.615384615384615,4.0,89.19238443631527,5.0,4.0,5.0,1.0,1.0
OCM07,4.285714285714286,4.615384615384615,4.285714285714286,92.35525139013104,5.0,4.0,5.0,3.0,
LDV07,4.090909090909091,4.615384615384615,3.829787234042554,89.56928916209414,5.0,4.0,5.0,,
SPC05,4.615384615384615,4.615384615384615,3.829787234042554,89.80088495575221,4.0,5.0,5.0,,
SOU13,4.999999999999999,4.999999999999999,4.615384615384615,97.91666666666669,5.0,5.0,5.0,,
PES07,4.615384615384615,4.999999999999999,4.999999999999999,92.45540398740818,5.0,5.0,5.0,,
BRE04,4.999999999999999,4.999999999999999,4.615384615384615,94.14506805892223,5.0,5.0,5.0,,
OCM08,4.285714285714286,4.999999999999999,4.999999999999999,93.18181818181816,5.0,5.0,5.0,,
LRE11,4.615384615384615,4.999999999999999,4.285714285714286,94.64219640346332,5.0,5.0,5.0,,
GRE13,4.999999999999999,4.999999999999999,4.615384615384615,91.65844611924396,5.0,5.0,5.0,,
