ID,Présentation du Sujet,Structure,Niveau de Langue,Voix Passive,Concision,Redondance,Langage Négatif,Métaphore,Discours,L'introduction,La conclusion,Persuasivité,Clarté du Langage,Créativité du discours,Global
SOU14,C,C,B,B,C,C,A,C,A,4,4,4,4,4,85
CVL03,C,C,B,B,B,B,A,A,C,5,5,5,5,4,90
NOR12,C,C,B,B,B,B,A,C,A,5,5,5,4,4,90
OCM18,C,C,B,B,B,B,A,C,C,5,5,5,4,4,85
BFC02,C,C,B,B,B,B,A,A,C,5,4,4,4,4,85
CFE09,C,C,C,B,B,B,A,C,C,5,5,4,5,5,85
LDV08,C,C,C,B,B,B,B,C,C,5,4,5,5,5,85
SOU10,C,C,B,B,B,B,A,C,A,4,5,5,4,4,85
SOU09,C,B,B,B,B,C,B,C,A,4,4,4,4,4,85
ALS09,C,C,C,B,B,B,A,C,C,4,4,4,4,4,85
ALS11,C,C,C,B,B,B,A,C,C,5,5,4,5,5,90
GRE13,C,C,C,B,B,B,B,C,C,4,4,4,4,4,85
HES08,C,C,B,B,B,B,A,A,A,5,4,5,4,4,85
LDV09,C,C,B,B,B,B,A,C,C,4,4,4,4,4,85
LDV07,C,C,C,B,B,B,A,C,C,4,4,4,4,4,85
ALS10,C,C,C,B,B,B,A,C,C,5,5,5,5,4,85
OCM13,C,B,B,B,B,B,A,A,A,4,4,4,4,4,85
HES02,C,C,C,B,B,B,A,C,C,4,4,4,4,5,85
HES03,B,C,C,B,C,B,B,C,C,4,4,4,4,4,85
NOR05,B,B,B,B,B,B,A,C,C,4,4,4,4,4,85
LOR03,C,C,C,B,B,B,A,C,C,5,4,4,4,5,85
CVL02,C,C,B,B,B,B,B,B,C,5,5,4,4,4,85
UPS04,C,C,B,B,B,C,A,C,C,4,4,4,4,4,85
HES05,C,C,B,B,B,B,A,A,C,5,4,4,4,4,85
SEN02,C,C,C,B,B,B,A,C,C,5,4,4,4,5,85
BOD12,C,C,B,B,B,B,B,C,C,5,4,4,4,4,85
LYO11,C,C,C,B,B,B,A,C,C,5,4,4,4,4,85
BOD01,C,C,B,B,B,B,A,C,A,5,4,4,4,4,85
SOU13,C,C,B,B,B,B,A,C,C,4,4,4,4,4,85
CFE02,C,B,C,B,B,B,A,C,C,4,4,4,4,5,85
HES01,C,B,B,B,C,C,A,C,C,4,4,4,3,4,85
LOR08,C,B,B,B,C,B,A,B,B,4,4,4,4,4,85
LRE09,B,B,C,B,B,B,B,C,C,4,4,4,4,4,85
BFC06,C,C,B,B,B,B,B,C,C,5,5,4,4,4,85
