ID,Présentation du Sujet,Structure,Niveau de Langue,Voix Passive,Concision,Redondance,Langage Négatif,Métaphore,Discours,L'introduction,La conclusion,Persuasivité,Clarté du Langage,Créativité du discours,Global
HES02,C,C,C,A,B,B,A,C,C,5,5,5,4,5,96
HES03,C,C,C,B,B,B,B,C,C,5,4,4,ERROR,5,87
NOR05,C,C,B,A,C,B,A,C,C,5,4,4,4,5,85
LOR03,C,C,C,B,B,B,A,C,C,5,4,4,5,5,93
CVL02,C,C,C,A,B,B,B,C,C,5,5,5,5,5,90
UPS04,C,C,B,B,B,C,A,C,C,5,5,4,5,5,90
HES05,C,C,B,B,B,B,A,C,C,5,4,5,5,4,92
SEN02,C,C,C,ERROR,B,B,A,C,C,5,4,4,5,5,92
BOD12,C,C,C,B,B,B,A,C,C,5,4,4,5,5,90
LYO11,C,C,C,ERROR,B,B,A,C,C,5,5,5,5,5,92
BOD01,C,C,C,B,C,B,A,C,A,5,4,5,4,5,92
SOU13,C,C,C,A,B,B,A,C,C,5,5,5,5,5,92
CFE02,C,B,C,B,B,B,A,C,C,5,4,4,5,5,90
HES01,C,C,C,A,ERROR,B,A,C,C,5,4,4,4,5,84
LOR08,C,C,C,B,C,B,A,C,C,5,4,4,4,4,86
LRE09,C,C,C,A,C,B,A,C,C,ERROR,3,4,5,5,86
BFC06,C,C,C,B,B,B,A,C,C,5,5,5,5,5,92
